text,option1,option2,option3,option4,correctIdx,level
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn",1,1
"What is the capital of France?","London","Berlin","Paris","Madrid",2,1
"Who painted the Mona Lisa?","Vincent van Gogh","Pablo Picasso","Leonardo da Vinci","Michelangelo",2,2
"What is the largest mammal in the world?","African Elephant","Blue Whale","Giraffe","Hippopotamus",1,2
"Which element has the chemical symbol 'Au'?","Silver","Gold","Copper","Aluminum",1,3
"Who wrote 'Romeo and Juliet'?","Charles Dickens","William Shakespeare","Jane Austen","Mark Twain",1,3
"What is the square root of 144?","10","12","14","16",1,4
"Which country has the largest population in the world?","India","China","USA","Indonesia",1,4
"What is the capital of Bhutan?","Kathmandu","Thimphu","Dhaka","Colombo",1,5
"Who discovered penicillin?","Marie Curie","Alexander Fleming","Louis Pasteur","Robert Koch",1,5
"What is the largest organ in the human body?","Heart","Brain","Liver","Skin",3,6
"Which planet has the most moons?","Jupiter","Saturn","Uranus","Neptune",1,6
"What is the chemical formula for water?","H2O","CO2","O2","H2SO4",0,7
"Who was the first person to step on the moon?","Buzz Aldrin","Neil Armstrong","Yuri Gagarin","Alan Shepard",1,7
"Which country won the first FIFA World Cup?","Brazil","Uruguay","Argentina","Italy",1,8 
